person_id,why_moved_to_current_state,prob_machine_generated,n_tokens,glimpse_criterion
US:40332632,Get away from a dump ran by democrats,0.22,9,-5.178460065994708
US:26216761,"Husband died, moved in with my son.",0.38,10,-2.1591736060241327
US:1971458,"I live in SW Virginia, it is beautiful here, with a much better quality of life than Massachusetts had.",0.34,22,-2.542031388114961
US:25693253,financial reasons,0.42,2,-8.283772289728082
US:32018531,I moved back home after college,0.51,6,-1.2996959200190525
US:34910603,Mother died when I was 7yrs old,0.47,10,-1.5640188293836268
US:156890521,Husband’s residency program,0.24,5,-3.9874002698858035
US:4462282,College,0.25,1,-3.653671016954066
US:1356750,I wanted to live closer to family,0.36,7,-2.3382842527359853
US:4510147,Family,0.25,1,-3.7675180728671025
US:35972074,Parents fleeing the segregated South,0.22,5,-5.272703230281163
US:24686788,"Did not move there, I was born there.",0.46,10,-1.6108582834172662
US:131452633,family,0.39,1,-8.061827286318932
US:1937002,retirement from teaching 32 years in NJ,0.22,9,-5.014410847288676
US:145142163,"to be back closer to family, the weather, the diversity, the food",0.39,15,-2.1171235811270366
US:172884413,family,0.39,1,-8.061827286318932
US:45530066,fathers job,0.25,3,-6.375469936861808
US:40886772,My spouse at the time wanted to move.,0.33,9,-2.609530715986283
US:113842499,Job outsource to Manila,0.22,5,-4.871776685942567
US:197959305,Returned home from college.,0.22,5,-4.701952460813577
US:119367737,to escape California,0.23,3,-6.007579277840871
US:143963431,Parents moved our family,0.22,4,-5.320043750123493
US:40886750,Grandchildren,0.25,2,-3.675904258888477
US:1911433,weather,0.29,1,-7.163085639089649
US:955551,More job opportunities in New York than in Michigan.,0.37,10,-2.291502819258763
US:178909913,To go to school,0.56,4,-1.0242765718108557
US:24286021,Job,0.33,1,-2.6298001581011357
US:162822095,"weather, adventure, fun",0.25,5,-3.678600231520166
US:31631970,Marriage,0.38,2,-2.145412607267349
US:187445237,dad's job,0.23,3,-5.74834590523142
US:172544273,To look after my aunt and uncle.,0.3,8,-2.8950453747342326
US:2618768,a job,0.26,2,-3.488285677043562
