person_id,why_are_pid_with_when,prob_machine_generated,n_tokens,glimpse_criterion
US:173602741,Learned that democrats started the KKK so I went to the other side.,0.38,17,-2.159952403638443
US:205893495,Republicans have conservative views that I disagree with,0.26,8,-3.586362034510158
US:156890521,I’m anti-abortion,0.34,4,-2.5245727324224068
US:145142163,Their platform,0.22,2,-5.126482017118235
US:197959305,I felt it was important to support Obama.,0.32,9,-2.7087662819900102
US:119367737,I do not agree completely with the policies of either party,0.45,11,-1.7072049003178247
US:1911433,more inline with my opinions,0.25,5,-3.6404859978927524
US:162822095,It became painfully obvious that republicans only cared about big business and the rich elites.,0.3,17,-2.9554126359479875
US:187445237,"I've watched Joe Biden during his entire political career. He was a plagiarist, liar & a con man. He should be behind bars. Barack Obama (whom I voted for) & misused billions of tax dollars to fund violent Islamic groups through USAID. Then Hillary Clinton piled with the missing 35,000 emails and her creation of the Steele dossier (& 24 strangley 'unalived' people) drove me away from the Democrat Party forever. The DNC cannot be trusted for the remainder of my lifetime. They protest for criminal illegal alien gang members on our tax money, And not a single member of the Democrat Party can correctly quote two full sentences from ANY PART of the Constitution or the Bill of Rights. We should not elect people from that last category.",0.4,155,-8.150562262752379
US:172544273,I was noticing the Democrats were taking this country in the wrong direction and not working towards the American people. We finally have an administration that is working for America and not other countries and illegal aliens,0.54,38,-1.1573371757717752
US:193067365,The Democratic Party proved themselves to be untrustworthy.,0.64,11,-0.6330287235466807
US:165143077,Because my views don't align with Republican views,0.24,9,-4.044755182136527
US:121654045,Na,0.23,1,-4.162653026504952
US:172181269,The party is most aligned either my beliefs,0.33,8,-7.54185570619162
US:173583521,More humane political party,0.25,4,-6.459049897689081
US:39524742,I agree with their policies on smaller government and that the government works for the people and ahould stay out of people’s lives.,0.29,26,-3.001462442362072
US:4541375,My overall beliefs,0.25,3,-3.784980682155609
US:108725141,i agree with their policies and choices,0.24,7,-4.046229379021334
US:150560389,They are closer to my beliefs.,0.3,7,-2.954848783252528
US:1684571,I don't know,0.79,4,0.2193787796126488
US:25649585,I stand against everything the cult believed and they were Republicans. There's more to it but that's where it started.,0.24,24,-3.8761035692563195
US:847351,Tired of watching America go to hell,0.6,8,-0.8128632378887878
US:31189999,for progress,0.29,2,-7.094176206835531
US:134491761,Because the issues I valued then and continue to value today aligned with the policies and priorities of the Democratic party.,0.29,22,-3.0031749065443343
US:40980076,"As a working person when I was much younger, I believe what the Republicans have done for equality and equal pay whether male or female.",0.22,27,-4.839232998464386
US:39487202,GOP was for themselves and the rich,0.23,7,-4.301233946797449
US:219765,Democrats are for the working man,0.45,6,-1.7051805551987687
US:4524173,Because my parents were.,0.26,5,-3.57057378015857
US:40810649,I believe in helping others,0.73,5,-0.11453127339442219
US:657185,Support for the middle class and marginalized people,0.4,8,-1.9912512284424502
US:4554174,"I am not close to any political party. As one of Jehovah’s Witnesses, I look to the Kingdom that Jesus said we should pray for to solve mankind’s many problems.",0.35,35,-2.4145514543553044
US:3803339,I come from a family of Republicans and that party generally follows a conservative bent.,0.39,16,-2.0887108002196415
US:179601253,I’ve not always felt closer to the Democratic Party. But now I truly believe every person deserves health care and certain other things like being able to have safe drinking water and food. These values fit more with the Democratic Party.,0.27,45,-3.278244257403424
US:198664945,I have my own ideas,0.88,5,0.8329941754480104
US:1882563,I was/am of the opinion Government works best when it does not legislate social morality.,0.26,18,-3.5935574428373713
US:112176573,"Most of the time, I see strange people protesting the weirdest things, and it turns out they are liberal. They don't make sense and make me think we should open more asylums. I don't wish to be part of that crowd.",0.46,51,-1.5883618776517525
US:189873961,"I believe Republicans do the right thing for the country, I don't believe in freebies to people who CAN WORK but choose not to. Tax oayers like me should not have to pay for the lazy who live off of the government.",0.37,48,-2.2188214419841694
US:185768509,"Republicans are for common sense and for 80% of what people want, Democrats are for stupid policies and only for 20% of what people want",0.5,30,-1.3527506449291822
US:952128,They care about the middle class and lower class,0.46,9,-1.631249463629252
US:44263918,Redumlicans are horrible,0.23,6,-4.282609230383683
US:192998525,"Morals, common sense",0.3,5,-2.972223901495123
US:124734113,Clinton scandals and democrat congress actions,0.44,6,-8.437582791826815
US:155490711,the Republican party is too concerned with benefited the upper middle class and rich and seem to have little compassion for those with lesser means. I say this although I have always been upper middle class myself.,0.28,39,-3.207801815592057
US:171211981,"I discovered the democrats are all liars who will say anything to get a vote. They never keep their promises, and never will. They are the party of Slavery, the KKK, Jim Crow, and all new slavery schemes like welfare.",0.51,51,-1.3315875925208833
US:171770213,I watched the GOP disintegrate into racism and idiotic decisions about the economy,0.27,16,-3.3181102780244403
US:39476131,Because GOP are closed minded and nasty. They pretend to be about freedom while they are standing on your throat. They are all about lip service and not in what they practice,0.29,34,-3.021721130712173
US:167514971,My mother’s influence.,0.4,5,-2.0316584175465184
US:180176203,Going along with my family members of who they chose to vote for and who is best for the Americans,0.24,20,-4.00206938742688
US:40738035,I agree with their policies,0.34,5,-2.5041481836270356
US:123309231,I think I answered that above. Sorry!,0.27,9,-3.280620896834832
US:46301537,I decided to vote in my own best interest instead of against it.,0.38,14,-2.1454922693711014
US:183010911,Hearing the discussions of the Republicans and Democrats and the differences between the two I lean more toward the Democrats .,0.46,22,-1.6145566874041422
US:28811090,I Felt they Had the Right Ideas Not Giving away our Tax Money and Driving up Inflation!,0.23,20,-5.764613141325077
US:29698917,"Democrats rely on objective reality, pursue the common good for all people, play by the rules, stand up for the common man, pursue more effective budget and tax policies, reduce the budget deficit in years when they are in power, are willing to raise taxes when needed, enact and protect social programs and policies that benefit all the people; protect the environment, support our veterans, protect the power and dignity of public service and public offices, support family farms and agriculture generally. And the other guys?, the Republicans? Do just the opposite, over and over again.",0.22,112,-5.70433174181961
US:2822153,Because it used to be the party of less government and lower taxes,0.42,13,-1.8857117980966474
US:40685102,I am more aligned with their priorities and way of thinking on most issues.,0.35,15,-2.4447359413819174
US:35891660,the republicans seem to be more honest,0.39,8,-2.074159577673118
US:131256153,They represent my values.,0.31,5,-2.797451200863264
US:143605031,From what I heard the Democrats were too loose on things and give away too much putting us in more debt.,0.22,22,-4.783732025819109
US:162974847,their views more closely align with mine,0.24,7,-4.0453339965537145
US:30685517,Aligns with my values,0.46,5,-1.6435604892347848
US:1076474,My values are mostly aligned with the Republicans,0.56,8,-1.0212694623612606
US:164237327,I saw firsthand how the more wealthy people were concerned about their own wealth first with little concern about those who did not share in that kind of wealth.,0.4,30,-2.033721703334325
US:35161517,Democrats are for the people and have made the right decisions for the people and what I believe is right. They believe in freedom for ALL not just the view. They believe in uplifting the populace not keeping us ignorant. I could go on and on. I doubt I would ever vote Republican.,0.3,58,-2.9282514814372034
US:2791746,most of the republican people i know seem uneducated and dumb,0.24,12,-3.8201641429726236
US:39219816,The Democratic party is closer to my ideals.,0.42,9,-1.8862995944634666
US:41171744,Because Republicans are trustworthy and genuine,0.24,6,-6.120599733390035
US:196247799,"Ronald Reagan was a better president than Jimmy Carter, from my perspective, our country is stronger with a republican president. Also, The democratic party is the party that passed Jim crowe laws, started the KKK and currently doesn't have any policy that I agree with.",0.35,55,-2.4328699190570693
US:4541450,Jesus said his kingdom is not part of this world neither is mine,0.22,13,-4.787541316519914
US:4172882,I have been very fortunate in my life and I want those less fortunate to have the same opportunities that I've had. I want clean air and water. I want peace. I want all children to have the chance to get a good education. I think health care is a human right.,0.79,58,0.21868116085907136
US:4404382,I believe the government needs to help tge people of the US not just big business.,0.45,18,-1.690201818141682
US:23751840,Because they represented my views.,0.23,6,-4.296772840881594
US:133681177,Do not agree with many conservative values.,0.28,8,-3.253882660052756
US:1751898,Quickly learned that democrats are by far the most immoral and corrupt group,0.43,15,-1.8164852802993747
US:2313164,Most of the time they are the uniparty,0.39,10,-2.1120752573555186
US:127026527,No specific reason. The Democratic party more closely reflects my feelings about most subjects.,0.22,16,-4.777581471516452
US:2633195,"Democrats have lost their focus and push some bizarre and dangerous issues especially on parents trying to protect their own children. That is not their business, they have way more important things to take care of.",0.24,39,-3.9161481266328306
US:371245,John F. Kennedy,0.71,4,-0.21892976804540326
US:189755537,When I realized the democrats stood for the opposite of everything I stood for.,0.34,16,-2.5020164532062177
US:207604,I generally agree much more with the policies and values of the Democrats.,0.41,14,-1.9481889484425103
US:134387673,"They put emphasis on Americans, not illegals or special interest groups.",0.22,14,-4.5868721022795285
US:3220182,I hold most of the same values with the Democrat's platform.,0.34,13,-2.503902484250332
US:23451541,"When the Republican party writ large got behind a lie to get us into a needless war in Iraq, smearing the people who were exercising their right to object. It was clear that there was one party that was not committted to being honest with the people, but rather maintaining their grip on power regardless of the cost. This has only become worse.",0.3,71,-2.8886342583870404
US:633394,"My best Friend who still is was a staunch Democrat. After lots of discussions I came to the conclusion that the Democratic Party was for helping the middle and lower class in important areas like health care, supporting unions and higher wages, protecting Social Security and Medicare, protecting the environment, protecting our Constitution and the Rule of Law and many other issues. I realized that the Republicans were all about tax breaks to the richest one percent and stood on the opposite side of the Democratic issues I just listed. I do not understand why people are voting Republican which in my mind is voting against one's own interest.",0.32,118,-2.7089958664619562
US:41834188,I believe what they represent,0.26,5,-3.446867511643664
US:3832827,Pro women,0.25,2,-6.4670452379599945
US:180968957,because I'm not a republican,0.31,6,-2.8591547380262536
US:164621497,"As a lifelong Republican, it was when the party elected a lifelong criminal to be its candidate",0.3,18,-2.9198396775479414
US:1931990,I most aligned with the beliefs and goals of the party,0.41,11,-1.912319724845409
US:1123298,Republican Party has developed into the party of Common sense party.,0.23,12,-4.085852242777105
US:38457862,"Like Bill Mahr I felt the Progs going too far re: DEI, Gaza and felt the Dems need all the help they can get. PS I'm from VT so Democratic Socialist like my Bern but a Dem",0.49,44,-8.741588459456342
US:43317449,"That was a long time ago and I can't remember that far back. If I were deciding today it would be by default as the only other choice that is relevant would be democrat and even the thoughts of being a democrat is repulsive, sickening, disgusting and worse.",0.34,55,-2.5001398828221975
US:2760874,both parties have gotten too extreme and a failing to find middle ground to create an atmosphere of cooperation. The majority of both sides are busy throwing barbs and promoting extreme ideas,0.29,34,-3.066041920407114
US:2451335,After Biden and all the illegalls and the fraud going on. Seeing how bad he was . I knew I was done with them. I dont want bad people staying in the US.,0.22,37,-4.982629772937434
US:2632273,I want less Republicans ruining this country. And I want more Demcrat voices.,0.22,17,-4.543562695680277
US:41706935,Jimmy Carter was weak.,0.22,5,-4.870489120208067
US:149590829,I only chose republican because I prefer their policies more,0.24,10,-4.037506553665024
US:24849922,"They are closer to my values, democrats have no clue what the average person values.",0.28,18,-3.1808574360896262
US:3014438,They support people like me,0.26,5,-3.589909394531906
US:4097218,they care the cmmon working people,0.31,7,-7.3273466598251416
US:3314126,They are really for the people and not just talk about being for the people.,0.58,16,-0.9288334847363402
US:1516818,Because I don't want to be a Republican.,0.45,10,-1.675754556032479
US:39171636,My family was Republican and I was able to vote for Ronald Reagan my first time. I strongly believed in what he had to offer as a president,0.49,29,-1.4490514619288297
US:166194131,"The only party concerned about peoples lives. Not corporations and the maga rich, who don't need more.",0.22,22,-4.493778225650146
US:159221267,Always been this way I guess,0.29,6,-3.046207440188753
US:155104911,"In the current state of both parties, I agree far more with Democratic objectives than Republican ones although I am dissatisfied with both parties at this time",0.27,29,-3.3964583771779577
US:3333856,They are fair in every way,0.45,6,-1.65835493771476
US:181957021,It’s the better choice,0.45,5,-1.6825224770674883
US:192035013,My values as a person align with democrats not the republicans or the maga group or the quite literal nazi's,0.24,25,-3.9041914056074187
US:126854329,I don’t believe the democrats are doing a good Job for the people I was a democrat until they went with abortion and against the Bible religion freedom was what America was founded on and we need to get back to that instead of excepting evil that is going to cause the fall of America,0.45,58,-1.683789098679762
US:40825807,The republican party refused to reign in their president when he exceeded the powers given him under law. Also I wanted to vote in the primary,0.23,27,-4.081805158082037
US:175254075,"There are several reasons. As a young adult I started to notice racism and misogyny and that the majority of the perpetrators were conservative/Republican. When affirmative action was implemented I saw how furious it made my father (a republican) of course my mother was all for it she worked full-time at the post office. When I went to University, expanding my mind to a more whole word view it reinforced in me how important our civil rights are.",0.22,89,-5.523758170554668
US:44142267,I'm conservative and Christian. Republican is the best for for me and for the nation.,0.29,18,-3.1024609569870343
US:4601704,"I'd rather give too much, then not enough to the people who need it.",0.51,17,-1.29296033825398
US:1308653,"Values of social justice, civil rights, health care and working people.",0.26,14,-3.5686598781893752
US:146427281,Republicans are more aligned with the people.,0.47,8,-1.5471707458031478
US:25440508,When I decided to vote for Donald Trump.,0.33,9,-2.6419659235790878
US:183830357,Better policy decisions,0.22,3,-5.374833551290504
US:139338079,no,0.23,1,-6.076349784212942
US:420955,Their views and values align with mine.,0.44,8,-1.7361748107679131
