person_id,why_are_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:4643012,"Almost all my family are republican, I just followed the majority.",0.27,13,-3.3617556122777
US:30217651,It' my choice.,0.22,5,-4.517798456789962
US:32018531,Because they want to protect democracy from fascist MAGA,0.22,10,-4.670899529845486
US:1937002,"Today's Democratic Party is in tune with people like me. They want minimum wage increased from the low $7.25/hr., healthcare for all, abortion rights returned to Roe v Wade level, all government programs and agencies to adhere to DEI, etc.",0.25,52,-3.6724263203340093
US:45530066,I believe in the party,0.58,5,-0.9533794347091431
US:40886772,I think everyone should be given the same opportunities.,0.78,10,0.1464419792293637
US:113842499,Democrats are the most stupid group I know. And they are communists.,0.34,15,-2.5542152021918136
US:143963431,Your survey has had multiple instances of displaying code variables instead of the text those variables represent. You should probably pay enough that you’re able to hire good software engineers.,0.22,33,-5.7059195071216084
US:203657111,I'm only Democrat because I don't make enough money to be considered higher rank.,0.22,17,-5.566425397751912
US:137312423,i am naturally conservative. ' republican ' fits me.,0.23,11,-5.717686413478703
US:3471316,cuz neither party are good,0.22,6,-5.638362339970354
US:4408968,its a personal choice,0.28,4,-3.1595854705772677
US:31700543,I have progressive ideas such as universal health care and affordable tuition or free tuition. I want the government to pay for the essentials in life that makes us healthy and live successfully.,0.42,35,-1.8758060847951716
US:189561537,I wouldn’t be a democrat right now for a million dollars. That party has lost its mind.,0.48,20,-1.519657456214699
US:121076567,i think everyone deserves a chance,0.44,6,-1.753979672598107
US:2631731,"I believe govt's purpose is to serve in the best interest of We the People. That govt is OF, BY & FOR people; that WE are GOVT. That govt. was formed and based on Democratic Socialism.",0.22,48,-4.939922651335874
US:102964735,The Democrat candidates are for the poor or working class.,0.4,11,-2.028355899341393
US:157118931,I just like the way Republicans do thing.,0.26,9,-3.4379377817474412
US:25302596,I vote for the person who has views I believe in. Has a morale compass and seems like a good person.,0.37,23,-2.291800282174615
US:1070359,"The opposition party dems. have no real ideas that connect to the regular folks. To promote abortion and same sex marriage, men in women's sports, more money to solve every problem are a few ideas",0.22,41,-4.489995220523334
US:31435093,Because I am not a racist and I care about other people.,0.45,13,-1.6906055707008276
US:166729569,right now I voted for republicans but have voter for both throught out the years,0.27,17,-6.829118085120393
US:1348814,"Because Democrats are the ones who truly care about people especially those who are the most vulnerable, those who may need a little extra help. We have empathy and compassion which I feel the republicans don't have",0.57,41,-0.9818939221247451
US:172820983,Both parties are beholden to special interests. Not to what is best for the country.,0.36,18,-2.3304914499233838
US:192432143,I do not align with the beliefs of the current Democratic Party!,0.67,13,-0.4297682634365005
US:2209556,"I agree with Republicans on most issues, and I feel they are far more conservative than Democrats.",0.69,19,-0.32990393842578447
