person_id,question,text,prob_machine_generated,n_tokens,glimpse_criterion,full_text
US:100029395,why_moved_to_current_state,Family,0.25,1,-3.7675180728671025,Family   Not democrat
US:100029395,why_think_pid,Not democrat,0.27,2,-6.736369525195759,Family   Not democrat
US:100108333,why_think_pid,Republican,0.22,1,-5.273849823224466,Republican
US:1003076,why_think_pid,Because I care about other people.,0.33,7,-2.65443276583166,Because I care about other people.
US:100312211,why_are_pid,"Logic, reason, facts, historical perspective",0.29,8,-3.057214006302598,"Logic, reason, facts, historical perspective   Job"
US:100312211,why_moved_to_current_state,Job,0.33,1,-2.6298001581011357,"Logic, reason, facts, historical perspective   Job"
US:1004230,why_moved_to_current_state,Own property,0.28,2,-7.022968958634792,"Own property   I have the same believes, morals"
US:1004230,why_think_pid,"I have the same believes, morals",0.32,7,-2.7458259935567257,"Own property   I have the same believes, morals"
US:100457741,when_think_pid,The first time I voted.,0.48,6,-1.47926085783031,The first time I voted.   Because I want every bidy to be treated like everyone else.
US:100457741,why_think_pid_with_when,Because I want every bidy to be treated like everyone else.,0.22,13,-5.211992074709323,The first time I voted.   Because I want every bidy to be treated like everyone else.
US:100517137,why_are_pid,Trump,0.26,1,-3.470753403888651,Trump
US:100517461,why_moved_to_current_state,Military move,0.24,2,-6.31071514017218,Military move
US:1005909,why_are_pid,Because Democrats are worthless.,0.24,5,-6.209720331243923,Because Democrats are worthless.   Parents relocated when I was a child
US:1005909,why_moved_to_current_state,Parents relocated when I was a child,0.26,7,-3.4487153432598077,Because Democrats are worthless.   Parents relocated when I was a child
US:100754677,when_decided_pid,1980s,0.53,3,-1.2153106483540557,"1980s   Democrats more humanist, Rs increasingly focused on a twisted version of Christianity. And that’s just the tip of the iceberg.   Partner’s job, to get out of Texas"
US:100754677,why_are_pid_with_when,"Democrats more humanist, Rs increasingly focused on a twisted version of Christianity. And that’s just the tip of the iceberg.",0.27,25,-3.305862242110211,"1980s   Democrats more humanist, Rs increasingly focused on a twisted version of Christianity. And that’s just the tip of the iceberg.   Partner’s job, to get out of Texas"
US:100754677,why_moved_to_current_state,"Partner’s job, to get out of Texas",0.22,9,-4.99057585650595,"1980s   Democrats more humanist, Rs increasingly focused on a twisted version of Christianity. And that’s just the tip of the iceberg.   Partner’s job, to get out of Texas"
US:100792235,when_decided_pid,Around 2015 when I graduated from high school and started to experience more of life as an adult.,0.4,21,-2.010972275400533,Around 2015 when I graduated from high school and started to experience more of life as an adult.   Their values and views are much more in line with my own.
US:100792235,why_are_pid_with_when,Their values and views are much more in line with my own.,0.73,13,-0.12169600567210224,Around 2015 when I graduated from high school and started to experience more of life as an adult.   Their values and views are much more in line with my own.
US:100795533,when_decided_pid,After the last 2 elections I realized both sides are equally as hypocritical as each other.,0.52,19,-1.271851249463821,After the last 2 elections I realized both sides are equally as hypocritical as each other.   Both sides only try to serve their own interests not he interests of the people   Parents wanted to come back to the US
US:100795533,why_are_pid_with_when,Both sides only try to serve their own interests not he interests of the people,0.28,15,-3.2602615666979604,After the last 2 elections I realized both sides are equally as hypocritical as each other.   Both sides only try to serve their own interests not he interests of the people   Parents wanted to come back to the US
US:100795533,why_moved_to_current_state,Parents wanted to come back to the US,0.37,8,-2.2863636816647124,After the last 2 elections I realized both sides are equally as hypocritical as each other.   Both sides only try to serve their own interests not he interests of the people   Parents wanted to come back to the US
US:100825775,when_decided_pid,Always,0.23,1,-4.413427954033356,Always
US:100825775,why_are_pid_with_when,Always,0.23,1,-4.413427954033356,Always
US:100874949,why_are_pid,I agree with their values,0.31,5,-2.774678916076241,I agree with their values
US:100880745,when_think_pid,When I voted in the 2016 election.,0.4,10,-2.021140654646178,When I voted in the 2016 election.   I was born in NY   I oppose children being killed in schools and support common sense gun laws. I believe that more needs to be done to address climate change. I support the affordable care act and Medicaid expansion. I would like for the United States to join other developed nations and get universal healthcare in the future.
