person_id,why_are_pid
US:4643012,"Almost all my family are republican, I just followed the majority."
US:30217651,It' my choice.
US:32018531,Because they want to protect democracy from fascist MAGA
US:1937002,"Today's Democratic Party is in tune with people like me. They want minimum wage increased from the low $7.25/hr., healthcare for all, abortion rights returned to Roe v Wade level, all government programs and agencies to adhere to DEI, etc."
US:45530066,I believe in the party
US:40886772,I think everyone should be given the same opportunities.
US:113842499,Democrats are the most stupid group I know. And they are communists.
US:143963431,Your survey has had multiple instances of displaying code variables instead of the text those variables represent. You should probably pay enough that you’re able to hire good software engineers.
US:203657111,I'm only Democrat because I don't make enough money to be considered higher rank.
US:137312423,i am naturally conservative. ' republican ' fits me.
US:3471316,cuz neither party are good
US:4408968,its a personal choice
US:31700543,I have progressive ideas such as universal health care and affordable tuition or free tuition. I want the government to pay for the essentials in life that makes us healthy and live successfully.
US:189561537,I wouldn’t be a democrat right now for a million dollars. That party has lost its mind.
US:121076567,i think everyone deserves a chance
US:2631731,"I believe govt's purpose is to serve in the best interest of We the People. That govt is OF, BY & FOR people; that WE are GOVT. That govt. was formed and based on Democratic Socialism."
US:102964735,The Democrat candidates are for the poor or working class.
US:157118931,I just like the way Republicans do thing.
US:25302596,I vote for the person who has views I believe in. Has a morale compass and seems like a good person.
US:1070359,"The opposition party dems. have no real ideas that connect to the regular folks. To promote abortion and same sex marriage, men in women's sports, more money to solve every problem are a few ideas"
US:31435093,Because I am not a racist and I care about other people.
US:166729569,right now I voted for republicans but have voter for both throught out the years
US:1348814,"Because Democrats are the ones who truly care about people especially those who are the most vulnerable, those who may need a little extra help. We have empathy and compassion which I feel the republicans don't have"
US:172820983,Both parties are beholden to special interests. Not to what is best for the country.
US:192432143,I do not align with the beliefs of the current Democratic Party!
US:2209556,"I agree with Republicans on most issues, and I feel they are far more conservative than Democrats."
US:28318649,I am sickened by the lack of spine has in regards to standing up to Trump
US:134705499,I think both are out of touch
US:465040,"I agree with all the ideals of the party at this time, including illegal immigration, inflation, America first, etc."
US:40718094,Following the constitution is important.
US:28343881,Ent to help the little guy not the rich
US:184235997,"The Democrats support issues important to the average citizen, while Republicans support the interests of the rich."
US:150600575,I believe in government of the people and for the people. Government should help people and make our lives better.
US:3749102,More common sense in their policies.
US:2208518,not as bad as democratic party
US:4077784,I think Republicans are more concerned with taking care of our country rather than spending money on taking care of the huge number of immigrants that have been allowed across our border.
US:4352107,Conservative ideas
US:153787925,I feel most democrat's if not all are communist. Socialist at best they are on a path to try and destroy a country that believes in God and country and family.
US:202763009,I am probably a Democrat because that is what my mother is and that's just how I was raised
US:3033056,Today’s political decisions have me agreeing much more.with the Republicans.
US:3585896,"To correct the absurd Liberal Democratic Party Policies which have destroyed our country during the Obama Biden Harris Administration (ie: OPEN BORDERS, Tren De Argua, MS-13 and Marsa Gangs need to be arrested and immediately deported without due process because they are TERRORISTS; Stop Wa$teful Spending Abuse and Corruption while severely cutting the Federal Workforce and cutting the Federal Government Budget; STOP WOKE CRT and DIE; Only hire people based on skills and NOT collor or absurd 65 Genders!; CLOSE NORTH and SOUTH Borders; arrest and trial for all government officials involved in RUSSIA RUSSIA RUSSIA; Kill the infected chickens and leave the healthy chickens alone which means STOP Biden's absurd Kill Them All policy; Remove ALL ILLEGAL ALIENS they are NOT immigrants; Back our currency with GOLD; Remove ALL the absurd 65 Genders from our Military; Arrest all the government officials in the FAKE Jan6 affair. MAGA! Thank God for President Trump and DOGE!"
US:147874497,"Cause Dems have gone off the track …immigration to get votes, Males playing women’s sports, using Racism as there only reason to criticize Rep, we need term limits, letting 2-3% of population control decision, wanting to allow 2-13 yr old kids make decisions about drastic changes in their life ( can they vote-no, can they but booze-no, but cigs-no, get tattoos-no, vote-no) but Dems want them to be able to make decisions on there sex …. Stupid, illogical crap …."
US:149013529,I appreciate law and order. I like to feel safe in my community and Republicans tend to enforce laws.
US:176274577,I evaluate candidates by what they bring to the table.
US:26210018,GOP is insane
US:171281271,"I am a Democrat because in my life time, there has been only one major political party that has not actively supported an attempted violent takeover of the United States Capitol, much less engaged in active measures to only benefit white, rich people."
US:102800593,Because they believe in treating everyone with respect and dignity
US:2276140,I believe it is important to care for our neighbors and each other and not just focus on money which is what I feel Republicans do
US:2003738,"Republicans are for the people! Democrats are out of touch, they have tried to destroyed the country by corrupt policies and bad decisions."
US:26903576,Because the U.S. will collapse if we do not sharply reduce government spending. The Democrats want to spend more. The Republicans want to spend less.
US:178438505,"They're in it for just politics, they've lost sight of why they're in the government"
US:4541371,"I believe in free speech. I do not believe that budget deficits are a crime. The Government needs to help people with housing, food, healthcare, and transportation. People should have the right to evaluate history critically just like they evaluate current events critically. People of different genders and lifestyle choices should have equal rights."
US:810874,"Neither party supports Nationalism and the right of White European people to have their own homelands free from forced immigration and miscegenation. Race mixing is a sin against God and is forbidden throughout scriptures. ""Thou Shall not adulterate thy Holy seed"" the 7th commandment, is a condemnation against race-mixing. ""Be ye separate and Holy"" is another commandment to remain pure. ""Honor thy Father and Mother"" is another commandment to racial purity. We ""Honor"" our parents by having children that look like them. In each of the first five books of the bible, (the Torah), God tells us 7 times in each book, ""No Race Mixing"". God commands us White Israelite/European people to drive off the alien and have nothing to do with them when we encounter them. I can go on! The Jews are not Israel and are not the people of the bible. They are the enemy of God and are contrary to all men, 1Thes 2:13-15, John 8:44-47. I am a racialist and believe scripture. Neither political party supports White people and sovereignty."
US:3344532,Mostly Republicans align with my values
US:40732459,I like their policies and beliefs.
US:4622686,My parents were Democrats so I am as well
US:2188985,"I CHOSE THE ONE BEST FIT TO DO RIGHT BY America and seeing the damage done by the expresident we needed a President that fights for getting AMERICA BACK TO WORK AND STOP TGE GARBAGE WE HAD DUMPED ON US FROM THE LAST BUNCH IN WASHINGTON, THAT IS WHY I am a Republican"
US:2351506,Because the democrats are too liberal and the republicans are racist.
US:4322937,Na
US:192952743,I’m from New Jersey and I’m not Christian nationalist nut job. MAGA is a threat to this country.
US:40373823,Republicans follow my beliefs. They work more for the people than for themselves.
US:29687610,Better values than democrats
US:149208181,Because the Democratic Party eschews christo fascism.
US:1223576,Both parties serve themselves and their priorities are reelecting career politicians. Politics should not be a career.
US:166634,Neither respects or represents moral clarity with respect to Israel and the genocide they are conducting.
US:115653849,The causes they stand for align most with my personal views.
US:133674313,Because I want to be and because democrats are STUPID!!
US:2496605,"I believe in smaller government, lower taxes, and I think abortion is murder."
US:207245457,Don't waste as much
US:127446309,The alternative is unthinkable
US:3931785,Because I believe in taking care of all the people not just the rich.
US:195137401,I am a Democrat because it's what I choose to be
US:1051207,"Just because the GOP is so toxic, I prefer more socialist policies"
US:2432070,"I grew up in a Democratic household, and learned what i could regarding the differences in the parties, leading me to understand the Democrat party is for people like me, who work hard to get somewhere and need that helping hand every so often, and the democratic's stick up for people in the working class."
US:127120835,Do not like TRUMP I would be anything he is not.
US:194450763,Democrats have gone too far left with DEI and men in women's sports and on immigration.
US:782984,The Democrats are crazy and the Republicans have joined a cult. I will never support a party that put Trump into power.
US:2633045,Believe in less government
US:39920692,"Because under President Trump's leadership, republicans are representing the people and delivering on the will of the people."
US:37587755,Federal Government should not be so involved in state matters.
US:4007899,Has a more moral value toward humanity. Not liberal and out of control Respects God bless America slogan
US:202443707,"I care about people. All colors, races, religions..."
US:2022856,A Dem would feed a hundred people to make sure one didn’t go hungry. A Rep would deny food assistance to 100 people to make sure one undeserving person didn’t get help.
US:25694488,Because they actually want to help everyone.
US:38515684,Democrats care about other people not about getting rich at others expense.
