,person_id,question,text,prob_machine_generated,n_tokens,glimpse_criterion,full_text,prob_machine_generated_full,n_tokens_full,glimpse_criterion_full
0,US:100029395,why_moved_to_current_state,Family,0.25,1,-3.7675180728671025,Family   Not democrat,0.79,4,-10.391834429595624
1,US:100029395,why_think_pid,Not democrat,0.27,2,-6.736369525195759,Family   Not democrat,0.79,4,-10.391834429595624
2,US:100108333,why_think_pid,Republican,0.22,1,-5.273849823224466,Republican,0.22,1,-5.273849823224466
3,US:1003076,why_think_pid,Because I care about other people.,0.33,7,-2.65443276583166,Because I care about other people.,0.33,7,-2.6544327658316598
4,US:100312211,why_are_pid,"Logic, reason, facts, historical perspective",0.29,8,-3.057214006302598,"Logic, reason, facts, historical perspective   Job",0.26,10,-6.732191745140338
5,US:100312211,why_moved_to_current_state,Job,0.33,1,-2.6298001581011357,"Logic, reason, facts, historical perspective   Job",0.26,10,-6.732191745140338
6,US:1004230,why_moved_to_current_state,Own property,0.28,2,-7.022968958634792,"Own property   I have the same believes, morals",0.37,10,-7.9062515633564985
7,US:1004230,why_think_pid,"I have the same believes, morals",0.32,7,-2.7458259935567257,"Own property   I have the same believes, morals",0.37,10,-7.9062515633564985
8,US:100457741,when_think_pid,The first time I voted.,0.48,6,-1.47926085783031,The first time I voted.   Because I want every bidy to be treated like everyone else.,0.22,20,-5.115659152757007
9,US:100457741,why_think_pid_with_when,Because I want every bidy to be treated like everyone else.,0.22,13,-5.211992074709323,The first time I voted.   Because I want every bidy to be treated like everyone else.,0.22,20,-5.115659152757007
10,US:100517137,why_are_pid,Trump,0.26,1,-3.470753403888651,Trump,0.26,1,-3.470753403888651
11,US:100517461,why_moved_to_current_state,Military move,0.24,2,-6.31071514017218,Military move,0.24,2,-6.31071514017218
12,US:1005909,why_are_pid,Because Democrats are worthless.,0.24,5,-6.209720331243923,Because Democrats are worthless.   Parents relocated when I was a child,0.37,13,-7.944421130534284
13,US:1005909,why_moved_to_current_state,Parents relocated when I was a child,0.26,7,-3.4487153432598077,Because Democrats are worthless.   Parents relocated when I was a child,0.37,13,-7.944421130534284
14,US:100754677,when_decided_pid,1980s,0.53,3,-1.2153106483540557,"1980s   Democrats more humanist, Rs increasingly focused on a twisted version of Christianity. And that’s just the tip of the iceberg.   Partner’s job, to get out of Texas",0.22,39,-5.432818900730983
15,US:100754677,why_are_pid_with_when,"Democrats more humanist, Rs increasingly focused on a twisted version of Christianity. And that’s just the tip of the iceberg.",0.27,25,-3.305862242110211,"1980s   Democrats more humanist, Rs increasingly focused on a twisted version of Christianity. And that’s just the tip of the iceberg.   Partner’s job, to get out of Texas",0.22,39,-5.432818900730983
