person_id,why_think_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:40332632,"Democrats are evil, criminals and mentally ill.",0.33,9,-2.593070874184885
US:26216761,my family are all Republicans,0.22,5,-4.7551177782858405
US:34910603,Seems to be the best choice for me,0.86,9,0.7141506125926196
US:4510147,Because I believe all people should have the same rights regardless of who they are and how much money they make. this country has the obligation to help the people who need help. And all people pay taxes in the United States so what do they get from the government when they need help? Not a goddamn thing.,0.44,63,-1.7327571155188024
US:35972074,"Each have their problems doing the will of the people. However, the republicans are by far worse, working mainly for the wealthy. The democrats are a little better because they do work to bring programs that will benefit the public, but they are still too distant from the people who got them there.",0.5,61,-1.346347035138383
US:131452633,"I AM A MAGA REPUBLICAN AND PROUD OF IT, BABY!",0.35,17,-2.429520313845296
US:172884413,it’s the right thing to do,0.6,7,-0.8084851650725862
US:189235547,"Democrats address systemic racial and economic inequality by developing long-term, inclusive solutions.",0.26,15,-3.556318241881763
US:134456511,What makes me a Democrat because I have belief that every individual have rights under the constitution and the rule of laws.,0.23,23,-4.251769873251302
US:955551,Not happy with what either party wants to do. Just making a mess out of this country.,0.33,19,-2.607481969616245
US:178909913,The party aligns with majority of my beliefs and has the best interests of the people in mind for policies and rule of law.,0.36,26,-2.330688186545639
US:31631970,Republican agenda is senseless,0.22,5,-5.618111492779049
US:310944,I guess it has to do with the way I see the world...and wanting a smaller government.,0.4,20,-1.995507202346511
US:1066282,I believe in less gov’t and more personal responsibility!,0.51,11,-1.2910403173176754
US:40347682,Because believe in small govt and I don't agree with the Dems on anything,0.31,16,-2.8400923742360287
US:136577369,Grew up in a democratic family,0.43,7,-1.7766204127384342
US:233468,I believe in the constitution and it should be respected.,0.76,11,0.040492040844409494
US:141461217,"Because I believe in equality for all people, I think Democrats value, freedom of speech, the right to body autonomy, lifting up our citizens through education and providing for health care for all people",0.24,38,-4.00701876695728
US:2425662,"Because I believe in God, pro life and more",0.23,10,-4.112001566659738
US:103816505,Unsure in that,0.26,4,-3.5692206095924277
US:680943,The Republican worldview is consistent with my Christian faith,0.3,9,-2.885562661058301
US:141883859,"We need a labor party that represents and fights in the interests of working people. Until we do, I have voted for the Democratic Party, even though they have proved themselves to be totally ineffective and lame.",0.4,41,-1.9871824572805792
US:28406238,Do not believe in Democrat objective of Socialism,0.22,9,-4.671558770972077
US:170185181,"I value love over hate, humanity over guns, education over ignorance. I believe in women’s choice and health care. I want a brighter, kinder world for myself and my family. I believe in taking care of one another, in embracing people’s identities, and that people are stronger together.",0.42,60,-1.896476466168524
US:931128,"Because I believe in democracy and align myself with freedom, inclusion, justice, equality, and compassion.",0.26,20,-3.6035977010118736
US:4406917,"they are more inclined to want the same things like healthcare for all, woman's rights, equality, freedom of speech",0.39,23,-2.1061934230924946
US:205174751,"Prior to 1998, when my voting rights were taken from me, I always voted Republican.",0.53,20,-1.1867376439895776
US:26241988,The Democratic Party is insane,0.5,5,-1.3430714950942126
US:31502808,"I believe one should think through all issues and make an informed decision that is unflavored by propaganda. In my opinion, Dems are more likely to agree with this stance, while the GOP (so far) are jackbooted thugs drinking the DJTrump kool aid.",0.22,55,-4.864884612036036
US:39495529,They are more closely aligned with my political views.,0.52,10,-1.2426506314287857
US:181607741,I see both sides,0.58,4,-0.9328941615957408
US:2644826,Because the Republican party doesn't care about society and helping those who cannot help themselves. They put profits above people.,0.27,23,-3.324806026143857
US:45516412,I had always been a republican. But then came maga. It is to much and goes against my beliefs. I have been pushed to the democrat party. I don’t agree with everything there but I am given the right to say it at least.,0.4,51,-2.0161282267030236
US:143946137,"I think of myself as a Democrat because they're the party that more closely aligns with my values, and because I live in a state with closed primaries, so if I want to be able to select candidates at that stage of the electoral process, I need to be registered with a major party.",0.52,60,-1.2412331911387617
US:2068744,"I am in favor of supporting others, which the republicans are not. The republicans always leave office in a shambles. The democrats leave with a good economy and things getting progressively better. Democrats do lie or deceive like the republicans do.",0.29,52,-3.057294420407981
US:2801895,I strongly believe in the Constitution Of The US.,0.33,10,-2.620288025648056
