person_id,why_think_pid_with_when,prob_machine_generated,n_tokens,glimpse_criterion
US:1971458,Because the republicans are insane & the democrats are at least marginally closer to the beliefs I hold.,0.27,22,-3.2892374330740743
US:25693253,because republican policies don't work,0.22,6,-5.289015794383187
US:1356750,I believe in limited government and allowing people the freedom to make their own way.,0.5,16,-1.3860914123693113
US:24686788,"As someone with an enlightened, liberal way of thinking, I agree with the philosophy and policies of the Democratic Party.",0.6,23,-0.8370391660167135
US:2756600,they are fir the people by the people,0.26,8,-3.4820021106349444
US:40886750,I believe in common sense and I don't see the democrats having much of that,0.44,17,-1.7476651966710322
US:24286021,Shrug,0.3,2,-2.9766832461914543
US:2618768,Democrats seem more in touch with the population.,0.29,9,-3.018495495819746
US:4387382,"Because I am smart, rational, and kind.",0.32,10,-2.6761504325412733
US:644881,I support one nation under God .,0.27,7,-3.3632659310625406
US:1360387,"I’m for equal,rights for women,lbgtq rights",0.22,13,-5.22925594404369
US:42702920,more like me than democrtas,0.22,8,-5.025692151161007
US:1514127,"They are more concerned with those who have less and the ""have nots"". They are not engaging in destroying our economy, our defense, our research, our freedom of speech. They are not grafting and especially not on an enormous scale as the current administration.",0.52,53,-1.2550445298607271
US:2982035,"Politicians (all of them without any exception) are treasonous puppets controlled by global aristocracy and Vatican, working against the best interests of their constituency. And people finally begun awakening to it.",0.22,40,-5.507241743599559
US:26540215,fiscal responsibility,0.27,3,-3.338535415845685
US:40849686,I am an empath and a retired nurse and that has shaped my left leaning mindset. Treat people as you want to be treated.,0.24,26,-3.9543984737965805
US:117816353,Do not agree with Democrats..,0.22,6,-5.4119713316020155
US:150923839,"I identify more with progressives than I do with the Democratic party, proper. But I consider myself a Democrat because I believe in the principle that government should steward and benefit citizens through public works, research and funding, and social support programs. I also believe that the neoliberalization of government since the 1980s has catastrophically widened the wealth gap and failed to deliver benefits to all but the most wealthy Americans. Over the past decade, I have seen a terrifying rise of racist, bigoted, and patently misinformed views associated with the GOP and Donald Trump as its figurehead. I am exhausted by the discrimination this party aims at American citizens, those who wish to become citizens, and those who enter our country in need of asylum. I am exhausted by the vitriol towards BIPOC folks and the LGBTQ community. I am terrified that childbearing people will not get the healthcare they need because of abortion bans. I am terrified that Donald Trump is single-handedly destroying our economy and our respected position in world politics. And I am ashamed that our country has elected Donald Trump as president for a second term.",0.3,226,-2.942292429631029
US:124625563,Because i realized their beliefs were what we really needed,0.23,10,-5.961079293396606
US:193544517,Both parties have big problems and these problems keep them from functioning well.,0.4,14,-1.9940900076728107
US:25684292,"The Republican platform is moral based on conservative values. They are the closest to what our Founding Fathers wanted for our nation. Freedom, life, liberty and based on biblical values. Our Founders were God-fearing patriots that modeled our government on moral values.",0.26,53,-3.5348333955754327
US:905529,Two extremes with no common sense,0.23,6,-4.10581644746857
US:1760511,"I believe that the right to abortion is between a woman and her doctor, period. I think that the country is in great danger with the executive, judicial and legislative branches all controlled by the worst party in our recent history.",0.57,45,-0.9913848850478056
US:173699469,I believe in a strong family unit; patriotism and only 2 genders. The “progressive” mindset is totally insane.,0.39,25,-2.081538052687789
US:1338954,they come closest to my values,0.22,6,-4.974648015772398
US:3511083,I’m not Democrat,0.3,4,-2.9087648427699015
US:2241418,They uphold progressive action to make this a more inclusive society.,0.27,12,-3.389782305995832
US:196152185,I am a working person and Democrats used to be for the working person,0.37,14,-2.273644330553427
US:190672873,,,0,
US:142547449,See above,0.29,2,-3.1047103411753163
US:40091207,My Mom was a Republican and that's why I went with,0.35,12,-2.3842948182181236
US:1069632,I am empathetic and intelligent,0.45,6,-1.656211162761985
US:29827873,"I believe in equal rights for all, women's choice, and most things the democrats stand for.",0.53,21,-1.1988590363450418
US:172629231,I believe in social services,0.45,5,-1.6478539779571157
US:25273093,"America First, life of the unborn, family as a unit, love of country, proud to say that Jesus Christ is my Lord and Savior",0.32,28,-2.6886491958750196
US:30051479,I believe in helping the less fortunate. I am an FDR democrat. I believe in a strong social safety net and using money to help make people's lives easier.,0.8,34,0.2773439497980332
US:114029663,"I have worked for years, need lower taxes, and stop giving money away",0.27,15,-3.4006439193565345
US:39604099,Some of their views align with mine.,0.43,8,-1.7951319640947805
US:184757,I got to church and believe in taken care of our own people instead of letting all these foreigners take over our jobs and cities and bring crime and higher prices to us all for insurance on health and qutos too. I care about our vets that have fought wars for our freedoms. I hate rude people whom are mostly foreigners in my city.,0.24,68,-6.15814252514287
US:206556815,No extra comment.,0.22,4,-4.646996117631968
US:46460721,"I have common sense and don't believe in abortions, violence, Woke & DEI crap.",0.22,20,-5.499419745704481
US:1850665,Republicans stand for the American dream and the American way of life....and they stand for our constitution and republic.,0.51,22,-1.2957562863553618
US:182945995,"I believe in traditional values, self-sufficiency, individual freedom, smaller government, and a less intrusive government.",0.65,23,-0.5701208496621725
US:184108145,I love this country and want to MAKE AMERICA GREAT AGAIN!,0.45,13,-1.6601119427578837
US:4529177,I believe more what the repub lican talk about,0.22,11,-5.364366873959656
US:113003713,I don't care,0.62,4,-0.7258808083713051
US:27306590,"Because I love our planet, all of its life, and don't think like a white supremacist",0.25,19,-3.7362609753282516
US:1333030,Because I am a Christian with a moral compass,0.46,9,-1.6431140049014221
US:167636091,Republican policies actually support the working middle class. Democrats say they support the middle class but their policies harm the middle class.,0.52,24,-1.270995847699052
US:31654048,Didn't like the choices,0.25,5,-3.7772511955120622
US:42325322,I am not a follower and both parties have become a bunch of sheeps,0.29,15,-3.0174512479705276
US:3381436,Can't follow Democrats polices,0.26,6,-6.561544800674844
US:39519606,I don't agree with the Republican ideals currently.,0.31,10,-2.8189712121428228
US:125773167,"The party does embrace policies with which I mostly agree, but not all. The Democrat party has embraced wildly extreme positions and actions that are more closely aligned with “Nazism” than those they accuse of it.",0.26,42,-3.518789075601056
US:504120,"Democrats tend to be better for the economy, diversity, the environment, and social programs.",0.51,18,-1.3033602264378301
US:46020779,I prefer not to answer this question,0.65,7,-0.5518784285746777
US:40302394,I believe in their ideas and principles.,0.58,8,-0.9295604888344678
US:486980,They are conservative and don't waste money on irrelevant things like the libs do.,0.47,16,-1.5692365538397708
US:189577503,I have morals.,0.36,4,-2.339878791619609
US:1938312,perhaps I should retype the above. but the it is the conservative stuff. I think people should do what they want and be left alone but they also should not be able to have 1 percent of the people mess up 99 percent of the people. Also I really thing the open boarder is very bad. I think that the democrats are trying to cause chaos in the streets so that they can end up being dictators by promising to fix what they caused.,0.35,95,-2.437469845897467
US:126731973,Every one I know was a Democrat.,0.3,8,-2.993678392856057
US:41275565,It's the closest thing the US has to a liberal/progressive party that has a chance of winning elections.,0.75,23,-0.006049495212030681
US:2233268,I wised up!,0.28,5,-3.140448492001276
US:142251159,Best representation of my views,0.25,5,-3.7067265917205874
US:171306697,The democrats are evil degenerates who hate regular people and seek to destroy america while enriching themselves,0.38,21,-2.1455119294308136
US:3283005,I like what they stand for - the people,0.4,9,-2.029770605037333
US:149003461,Republican leaders have become loyal to a single person rather than the rule of law and the U.S. Constitution.,0.49,22,-1.4037351162088185
US:31253152,Align with my beliefs,0.28,4,-3.1994450135892487
US:46744593,"The democratic party is more for the people,not so much for the upper class",0.48,16,-1.4753130094311473
US:2407403,Did not the democratic platform,0.22,5,-4.8911511300952935
US:1180967,"The Democratic Party has strayed too far left with: DEI, Transgender issues, taxes. Right now the Democratic Party is being driven by a small group of far left, out of touch politicians. They seem totally detached from most Americans and their values. The immigration problems over the last 4 years also contributed to my lean toward the Republican Party.",0.27,71,-3.3883308945875927
