person_id,why_think_pid
US:40332632,"Democrats are evil, criminals and mentally ill."
US:26216761,my family are all Republicans
US:34910603,Seems to be the best choice for me
US:4510147,Because I believe all people should have the same rights regardless of who they are and how much money they make. this country has the obligation to help the people who need help. And all people pay taxes in the United States so what do they get from the government when they need help? Not a goddamn thing.
US:35972074,"Each have their problems doing the will of the people. However, the republicans are by far worse, working mainly for the wealthy. The democrats are a little better because they do work to bring programs that will benefit the public, but they are still too distant from the people who got them there."
US:131452633,"I AM A MAGA REPUBLICAN AND PROUD OF IT, BABY!"
US:172884413,it’s the right thing to do
US:189235547,"Democrats address systemic racial and economic inequality by developing long-term, inclusive solutions."
US:134456511,What makes me a Democrat because I have belief that every individual have rights under the constitution and the rule of laws.
US:955551,Not happy with what either party wants to do. Just making a mess out of this country.
US:178909913,The party aligns with majority of my beliefs and has the best interests of the people in mind for policies and rule of law.
US:31631970,Republican agenda is senseless
US:310944,I guess it has to do with the way I see the world...and wanting a smaller government.
US:1066282,I believe in less gov’t and more personal responsibility!
US:40347682,Because believe in small govt and I don't agree with the Dems on anything
US:136577369,Grew up in a democratic family
US:233468,I believe in the constitution and it should be respected.
US:141461217,"Because I believe in equality for all people, I think Democrats value, freedom of speech, the right to body autonomy, lifting up our citizens through education and providing for health care for all people"
US:2425662,"Because I believe in God, pro life and more"
US:103816505,Unsure in that
US:680943,The Republican worldview is consistent with my Christian faith
US:141883859,"We need a labor party that represents and fights in the interests of working people. Until we do, I have voted for the Democratic Party, even though they have proved themselves to be totally ineffective and lame."
US:28406238,Do not believe in Democrat objective of Socialism
US:170185181,"I value love over hate, humanity over guns, education over ignorance. I believe in women’s choice and health care. I want a brighter, kinder world for myself and my family. I believe in taking care of one another, in embracing people’s identities, and that people are stronger together."
US:931128,"Because I believe in democracy and align myself with freedom, inclusion, justice, equality, and compassion."
US:4406917,"they are more inclined to want the same things like healthcare for all, woman's rights, equality, freedom of speech"
US:205174751,"Prior to 1998, when my voting rights were taken from me, I always voted Republican."
US:26241988,The Democratic Party is insane
US:31502808,"I believe one should think through all issues and make an informed decision that is unflavored by propaganda. In my opinion, Dems are more likely to agree with this stance, while the GOP (so far) are jackbooted thugs drinking the DJTrump kool aid."
US:39495529,They are more closely aligned with my political views.
US:181607741,I see both sides
US:2644826,Because the Republican party doesn't care about society and helping those who cannot help themselves. They put profits above people.
US:45516412,I had always been a republican. But then came maga. It is to much and goes against my beliefs. I have been pushed to the democrat party. I don’t agree with everything there but I am given the right to say it at least.
US:143946137,"I think of myself as a Democrat because they're the party that more closely aligns with my values, and because I live in a state with closed primaries, so if I want to be able to select candidates at that stage of the electoral process, I need to be registered with a major party."
US:2068744,"I am in favor of supporting others, which the republicans are not. The republicans always leave office in a shambles. The democrats leave with a good economy and things getting progressively better. Democrats do lie or deceive like the republicans do."
US:2801895,I strongly believe in the Constitution Of The US.
US:878941,"Wake up ! The Democrats have lost their mind . They lie. They are a Hateful group.They support men in women’s sports, in locker rooms. Harbor illegal immigrants, and above all Do not follow the law and Rules of the Constitution. Haters all of them. They voted against the removal of tax on tips and overtime etc. a sick group."
US:173753001,Their policy choices are more in line with my views than the Republican Party.
US:202238047,"because Democrats care more about people, instead of corporations & the wealthy."
US:188838039,"Generally, Republicans are more closely aligned with what I consider Christian values."
US:46467894,They both suck
US:41525136,Not that involved in politics and I vote for who i like better
US:2688721,"The Democrats are evil and have a dangerous agenda. The Republicans are weak and don't get much done. I left all of the main political parties because none of them were closer to my political opinions. BTW, I live in a state that has been controlled by the Democrats for decades."
